DetectedObjects,ImageID
"[{'accuracy': '0.57561', 'label': 'person'}, {'accuracy': '0.8562844', 'label': 'person'}, {'accuracy': '0.50781786', 'label': 'person'}, {'accuracy': '0.529337', 'label': 'person'}, {'accuracy': '0.75358164', 'label': 'person'}, {'accuracy': '0.695344', 'label': 'person'}]",6c69147f-34c2-4973-a837-f1b1356e3da8
[],faca5a2f-da27-41d8-852a-e108c75357a3
"[{'accuracy': '0.83203346', 'label': 'motorbike'}]",66bad0f5-2cbf-498f-bb20-966a4ebc22f7
[],9c3a52a6-e943-4e0b-b4d8-d929ff6fdb63
[],569fafa0-0cb7-4e23-a877-ab2658eb700b
"[{'accuracy': '0.5943017', 'label': 'laptop'}, {'accuracy': '0.9521036', 'label': 'laptop'}, {'accuracy': '0.83912945', 'label': 'tvmonitor'}, {'accuracy': '0.94576323', 'label': 'laptop'}, {'accuracy': '0.89794165', 'label': 'laptop'}, {'accuracy': '0.79878616', 'label': 'tvmonitor'}, {'accuracy': '0.73823565', 'label': 'keyboard'}, {'accuracy': '0.7134349', 'label': 'mouse'}]",304924b2-e53b-484e-a9f6-6caf217c8129
"[{'accuracy': '0.97810066', 'label': 'clock'}, {'accuracy': '0.9281172', 'label': 'clock'}, {'accuracy': '0.87707573', 'label': 'clock'}]",6c4ad297-1c1d-4395-91ac-0f559617f18e
"[{'accuracy': '0.928452', 'label': 'zebra'}]",dc0476c5-19f2-4d45-b5fd-0528f6fe5d78
[],dbd64fbe-fa5b-4b92-a579-d6a4c2bb6050
"[{'accuracy': '0.8369681', 'label': 'person'}]",fe20fd78-3b63-4215-8938-12cda1510997
[],fede3965-668f-4ad3-a08e-f0908a7bdd4e
[],f6e9d7ad-20ad-48f2-a440-be22be683364
"[{'accuracy': '0.8530288', 'label': 'person'}, {'accuracy': '0.8133155', 'label': 'person'}, {'accuracy': '0.7321023', 'label': 'sports ball'}]",95d7f8c1-b140-43d6-9807-32f15f9dff12
[],5a0452fe-0786-40b0-aa63-a6dbf9e67107
"[{'accuracy': '0.6127992', 'label': 'kite'}, {'accuracy': '0.6215582', 'label': 'kite'}]",bc623135-e4b4-4954-9b17-f5a3a99e0c31
[],bdb451dd-7a12-42f1-82f3-d9e7455dc3b5
"[{'accuracy': '0.69518256', 'label': 'cell phone'}]",28c2bfa0-91bf-4c01-b4eb-1b8ed5cc8ec5
"[{'accuracy': '0.58496296', 'label': 'refrigerator'}, {'accuracy': '0.7101946', 'label': 'sink'}, {'accuracy': '0.656889', 'label': 'oven'}, {'accuracy': '0.76474065', 'label': 'oven'}, {'accuracy': '0.55648977', 'label': 'microwave'}, {'accuracy': '0.63749975', 'label': 'microwave'}, {'accuracy': '0.6911782', 'label': 'oven'}]",bf1944be-b966-4a4d-88cf-e89feb33dc68
"[{'accuracy': '0.63135386', 'label': 'person'}, {'accuracy': '0.6839998', 'label': 'person'}, {'accuracy': '0.90824646', 'label': 'person'}]",ced1df85-17d1-4bea-8168-9de1a7b94554
"[{'accuracy': '0.81981754', 'label': 'person'}, {'accuracy': '0.62919664', 'label': 'sports ball'}]",ff0fde6a-e32e-4675-a7f2-f53863f01536
"[{'accuracy': '0.5723805', 'label': 'carrot'}]",4809ffa9-7cba-4aef-a194-5d0424b0b45f
[],afafbaea-ef83-4d46-bf38-543fac04d1f5
"[{'accuracy': '0.5882788', 'label': 'frisbee'}]",c3b20a79-b069-4153-9c27-ac4ce273f3e8
[],c386aff5-4542-4474-a668-a04f78b15f75
[],b7ea617b-6ba2-4cb1-90b3-89a5dab10094
"[{'accuracy': '0.68368304', 'label': 'person'}]",76a87076-ed25-48bf-b1c9-af1e6a468f05
[],068a8573-9bf0-4201-99b6-4d9eb0ef63f7
"[{'accuracy': '0.70513964', 'label': 'person'}, {'accuracy': '0.59974784', 'label': 'person'}, {'accuracy': '0.7664193', 'label': 'person'}, {'accuracy': '0.86632496', 'label': 'person'}, {'accuracy': '0.9088474', 'label': 'person'}, {'accuracy': '0.6813043', 'label': 'person'}, {'accuracy': '0.8030131', 'label': 'person'}, {'accuracy': '0.57741624', 'label': 'person'}, {'accuracy': '0.5420879', 'label': 'person'}, {'accuracy': '0.74256796', 'label': 'person'}]",3943c4e0-410b-451e-970b-5067f60e1ec5
"[{'accuracy': '0.51096', 'label': 'cat'}]",b8b143ea-28ea-44bf-b904-ff31f4e88463
"[{'accuracy': '0.50244075', 'label': 'motorbike'}]",e163ab42-b0f9-417b-aec6-3dfaf057a6c7
"[{'accuracy': '0.73178184', 'label': 'person'}, {'accuracy': '0.86806554', 'label': 'person'}, {'accuracy': '0.6587933', 'label': 'person'}]",fe822ea6-92bf-4e4d-82fd-02e6fa09c33b
"[{'accuracy': '0.84418863', 'label': 'person'}, {'accuracy': '0.67084', 'label': 'person'}, {'accuracy': '0.86280465', 'label': 'person'}, {'accuracy': '0.6237394', 'label': 'bowl'}, {'accuracy': '0.742229', 'label': 'cup'}]",60b23a88-3457-41eb-a9df-311ef0758bd6
"[{'accuracy': '0.972595', 'label': 'toilet'}]",42946699-e413-4e2d-9377-b717e6e615ed
[],274d4c02-1fcb-4653-8cbf-05add506f773
"[{'accuracy': '0.90445364', 'label': 'tennis racket'}, {'accuracy': '0.68012327', 'label': 'person'}, {'accuracy': '0.6186282', 'label': 'person'}, {'accuracy': '0.7885273', 'label': 'person'}, {'accuracy': '0.95451', 'label': 'tennis racket'}]",40bef5f6-5494-40fc-b329-965e8efa7958
"[{'accuracy': '0.81984204', 'label': 'chair'}, {'accuracy': '0.8307251', 'label': 'chair'}, {'accuracy': '0.5170284', 'label': 'chair'}, {'accuracy': '0.61792004', 'label': 'chair'}, {'accuracy': '0.8325951', 'label': 'chair'}]",555f372d-0ad6-4d2e-b62f-2ea6cae51c9d
"[{'accuracy': '0.60664994', 'label': 'parking meter'}]",0cbc69b4-81d9-4002-9115-8606f2c415c7
[],dba2c73b-d888-41ec-9e21-344d3e0f3707
[],be4600ee-00c1-4297-b348-c16f4fc152a7
"[{'accuracy': '0.95139086', 'label': 'tvmonitor'}, {'accuracy': '0.6008953', 'label': 'person'}, {'accuracy': '0.8826244', 'label': 'tvmonitor'}, {'accuracy': '0.64059746', 'label': 'tvmonitor'}]",288ea84c-63f9-4e10-a9dd-541386f078cc
"[{'accuracy': '0.56361127', 'label': 'fork'}]",0269827c-4084-45f3-8a07-f68bee9eb407
"[{'accuracy': '0.5154353', 'label': 'zebra'}, {'accuracy': '0.85723186', 'label': 'zebra'}, {'accuracy': '0.7059577', 'label': 'zebra'}]",5abe4f4d-c09a-46cd-b65d-61727a3719b2
[],f2e4db37-795b-4578-a7e3-8294946b9127
"[{'accuracy': '0.6498695', 'label': 'traffic light'}]",dcde37d6-d182-48a9-a4c8-c7debcee5c3f
[],3cc26c92-1f9a-4329-ae43-f28b7bfe9d11
[],5a1fd6d1-b01b-4215-b0d2-e49f5c08b816
"[{'accuracy': '0.5392357', 'label': 'car'}]",474f2c36-2891-4965-9a3d-d2163713f983
"[{'accuracy': '0.9197227', 'label': 'train'}]",db2d6a44-d3cb-4513-9139-22132ed729e3
"[{'accuracy': '0.5387197', 'label': 'person'}, {'accuracy': '0.63735276', 'label': 'person'}, {'accuracy': '0.9345763', 'label': 'person'}, {'accuracy': '0.93845904', 'label': 'person'}, {'accuracy': '0.6467781', 'label': 'person'}, {'accuracy': '0.76494193', 'label': 'person'}, {'accuracy': '0.91776216', 'label': 'person'}]",d69098ba-ba60-4d1a-b796-71fd53ef6f4b
"[{'accuracy': '0.5262921', 'label': 'bottle'}, {'accuracy': '0.8457478', 'label': 'wine glass'}, {'accuracy': '0.62665856', 'label': 'pizza'}]",c0dab60b-8ab3-458e-ab28-27b96b02ee2c
[],8d9ab065-92fb-4edc-b368-4303db8732dd
"[{'accuracy': '0.8302895', 'label': 'bus'}]",65ff116c-f1d8-45d2-8e42-86ef0c6aab15
"[{'accuracy': '0.67010534', 'label': 'boat'}]",d8dc8afe-3f87-4c1b-b16a-4d02c6507fdb
[],56446a53-589e-4f6f-8ccc-4c4af975d951
[],7e2121d5-50f1-4437-9279-6396d97bc451
[],5e7a6fc9-71ec-4c17-8108-5144e17d2859
"[{'accuracy': '0.72647965', 'label': 'person'}, {'accuracy': '0.55355513', 'label': 'person'}]",7165ffcb-8f45-4727-b469-bb3295e223be
"[{'accuracy': '0.72713935', 'label': 'person'}, {'accuracy': '0.5097713', 'label': 'person'}]",8fdcf9cc-69f5-4cbb-9f66-8b3d41934e3c
"[{'accuracy': '0.7103786', 'label': 'person'}]",41d2f1b5-a9d9-41bf-b120-4cabcde7dc7f
"[{'accuracy': '0.6317388', 'label': 'person'}, {'accuracy': '0.7133162', 'label': 'wine glass'}, {'accuracy': '0.5744619', 'label': 'wine glass'}]",c948361c-21d3-484e-90de-e257f1f3b9f4
"[{'accuracy': '0.8473095', 'label': 'zebra'}, {'accuracy': '0.5743927', 'label': 'zebra'}, {'accuracy': '0.9195103', 'label': 'zebra'}]",9017253b-a547-4dc6-a1d3-1db63ffde94b
"[{'accuracy': '0.83739823', 'label': 'person'}, {'accuracy': '0.5805989', 'label': 'tennis racket'}]",f8c7ad39-6c6a-49d8-b615-a17ad0521af4
"[{'accuracy': '0.8936342', 'label': 'stop sign'}, {'accuracy': '0.92137057', 'label': 'stop sign'}, {'accuracy': '0.69737536', 'label': 'car'}]",3360a457-d771-4d05-b3b6-baafdb3220a9
"[{'accuracy': '0.6387632', 'label': 'backpack'}, {'accuracy': '0.5220976', 'label': 'person'}]",7eeb4256-3c0a-48f5-b158-7db655e4e2dc
"[{'accuracy': '0.75632447', 'label': 'giraffe'}, {'accuracy': '0.96778864', 'label': 'giraffe'}, {'accuracy': '0.62687796', 'label': 'giraffe'}, {'accuracy': '0.6294237', 'label': 'giraffe'}, {'accuracy': '0.64703166', 'label': 'giraffe'}]",2eae694a-f2db-4255-b066-21792aa13ae0
[],af677410-ceba-4aa9-9a06-7c7bc1a0f339
"[{'accuracy': '0.5669799', 'label': 'car'}, {'accuracy': '0.6390714', 'label': 'car'}]",5e5f6ecf-5424-4472-a56e-7440bb2e3c35
[],1925aeac-1789-4961-abcb-64c5b421a194
[],176b91c8-3587-49eb-a2a0-3946668b17b3
"[{'accuracy': '0.80482584', 'label': 'cow'}]",e17f743a-c442-4b0a-8ca0-7c39f9259476
"[{'accuracy': '0.6586999', 'label': 'person'}, {'accuracy': '0.9592578', 'label': 'person'}, {'accuracy': '0.62055224', 'label': 'skateboard'}]",746f5922-965c-4579-a7ca-257609346d6a
[],336933a9-7beb-487d-951e-e900c9b85360
"[{'accuracy': '0.6395581', 'label': 'cow'}]",67f979ec-bac0-4d0b-88f2-c4d1e177a71c
"[{'accuracy': '0.5115311', 'label': 'tie'}]",104f17ba-d358-435f-9be8-db6ff83d247b
"[{'accuracy': '0.6291377', 'label': 'aeroplane'}]",fffcc2f7-765d-4149-9171-211cdc9deabb
"[{'accuracy': '0.57549745', 'label': 'bird'}]",d34fafed-effd-4092-98eb-20f41afdbcf4
"[{'accuracy': '0.69456315', 'label': 'person'}, {'accuracy': '0.9276289', 'label': 'person'}, {'accuracy': '0.8658716', 'label': 'person'}, {'accuracy': '0.9984083', 'label': 'person'}, {'accuracy': '0.8738571', 'label': 'person'}]",c5cc2a6f-8c63-4bd1-b856-a05bfdb554a1
[],7ddf3a87-72bc-48cd-9b92-8873992b8978
"[{'accuracy': '0.93194276', 'label': 'cat'}]",9f823ad2-0f17-487e-bbcc-083e1b3e3839
